model,lmbda,rho,alpha,dobs,seed,X_rmse,Y_rmse,Z_rmse
pinn,0.1,23.0,0.0005,20,23,6.544704350326399,7.765871087000528,7.892361121728304
pinn,0.1,23.0,0.0005,20,24,6.5426681123785695,7.217579569108036,7.878701721582408
pinn,0.1,23.0,0.0005,20,25,6.544675343043441,8.003746268318666,7.884997595182558
pinn,0.1,23.0,0.0005,20,26,6.54240505201111,7.136160543293759,7.896660645536354
pinn,0.1,23.0,0.0005,20,27,6.5428413568892125,7.326645422681512,7.894098479053621
pinn,0.1,23.0,0.0005,20,28,6.543428721935619,7.490659098088301,7.883245881553542
pinn,0.1,23.0,0.0005,20,29,6.544585649620377,8.043493899242396,7.8877507534600815
pinn,0.1,23.0,0.0005,20,3,6.535655432771735,6.4088692184396585,7.873057963252023
pinn,0.1,23.0,0.0005,20,30,6.54440579680833,7.796828924752075,7.89017632027197
pinn,0.1,23.0,0.0005,20,31,6.540910232329729,6.865614234751646,7.882796896973112
pinn,0.1,23.0,0.0005,20,32,6.539085686877181,6.519666420539111,7.885673775988294
pinn,0.1,23.0,0.0005,20,33,6.5442867495055435,9.120683842032962,7.90631972351824
pinn,0.1,23.0,0.0005,20,34,6.541775218761334,7.479026325879639,7.94433491869026
pinn,0.1,23.0,0.0005,20,35,6.541872380150736,7.213211081568429,7.8853368062315585
pinn,0.1,23.0,0.0005,20,36,6.54179137980954,6.887360199011533,7.886805730329495
pinn,0.1,23.0,0.0005,20,37,6.543475508964697,7.462136227888154,7.886116477915177
pinn,0.1,23.0,0.0005,20,38,6.546590226053549,8.506640266640796,7.8913021522705895
pinn,0.1,23.0,0.0005,20,39,6.333479541094869,7.575580778798149,10.76963294134658
pinn,0.1,23.0,0.0005,20,4,6.54021694224775,6.54789266561897,7.871856747661134
pinn,0.1,23.0,0.0005,20,40,6.542020537269757,7.00683478747943,7.883008640788395
pinn,0.1,23.0,0.0005,20,41,6.547179216072676,8.360215655794502,7.888071902893802
pinn,0.1,23.0,0.0005,20,42,6.543185215842026,7.490832907715352,7.878751283540254
pinn,0.1,23.0,0.0005,20,43,6.543459684886936,7.6115252084894784,7.883752538650939
pinn,0.1,23.0,0.0005,20,44,6.546258255884912,8.053042063698287,7.892096676831201
pinn,0.1,23.0,0.0005,20,45,6.545083562303871,8.042503479121313,7.888184442578682
pinn,0.1,23.0,0.0005,20,46,4.213733507695011,5.5977655075390675,7.364913161516672
pinn,0.1,23.0,0.0005,20,47,6.5447374538872936,7.84922287867558,7.891747068439654
pinn,0.1,23.0,0.0005,20,48,6.544820103398329,7.864150684785251,7.889187908673919
pinn,0.1,23.0,0.0005,20,49,6.543119153441342,7.355631880429154,7.885285613191507
pinn,0.1,23.0,0.0005,20,5,6.541663976325926,8.521719573638636,7.913593045299897
pinn,0.1,23.0,0.0005,20,50,8.208950900006162,9.732451045286583,8.904532181783217
pinn,0.1,23.0,0.0005,20,51,6.542610894762617,7.052105168616894,7.861486738555112
pinn,0.1,23.0,0.0005,20,52,6.540392506292393,7.7866733708816795,7.882213615903206
pinn,0.1,23.0,0.0005,20,53,6.540357536686079,6.8335197868699264,7.864940108338984
pinn,0.1,23.0,0.0005,20,54,6.530859381762432,5.675638920183874,7.9749580905003015
pinn,0.1,23.0,0.0005,20,55,6.537848143125498,6.151999384785948,7.898894551172145
pinn,0.1,23.0,0.0005,20,56,6.539448218965552,6.5267147662091025,7.890648570126388
pinn,0.1,23.0,0.0005,20,57,6.544316721362695,7.868633720819279,7.884103143738487
pinn,0.1,23.0,0.0005,20,58,6.543116027198315,7.50251837420934,7.8760133530735486
pinn,0.1,23.0,0.0005,20,59,6.5455677000179024,7.4594715038761725,7.909597424236442
pinn,0.1,23.0,0.0005,20,6,6.521542851287462,5.949774090313298,7.981317537190209
pinn,0.1,23.0,0.0005,20,60,6.546386161870241,8.17155914601958,7.890464676540905
pinn,0.1,23.0,0.0005,20,61,6.542912838433791,7.37365546172934,7.88033457846155
pinn,0.1,23.0,0.0005,20,62,6.517854248941194,6.644848685154344,8.149313199242771
pinn,0.1,23.0,0.0005,20,63,6.519580398480289,6.107244339711527,8.113329432497355
pinn,0.1,23.0,0.0005,20,64,6.520708901134911,5.987502370119223,8.013952217034124
pinn,0.1,23.0,0.0005,20,65,6.5448391381171,7.925123359549183,7.89559030006581
pinn,0.1,23.0,0.0005,20,66,6.543089461249564,7.517784948609524,7.88334084600374
pinn,0.1,23.0,0.0005,20,67,6.543597405759222,7.540421415643889,7.889067525222383
pinn,0.1,23.0,0.0005,20,68,6.544024429860453,7.832557577108261,7.883685780574734
pinn,0.1,23.0,0.0005,20,69,6.545473318588977,7.794296736162143,7.893774627922442
pinn,0.1,23.0,0.0005,20,7,6.545790347614072,8.047175000918603,7.88704287215
pinn,0.1,23.0,0.0005,20,70,6.547045343049967,8.100679895998631,7.861539743950648
pinn,0.1,23.0,0.0005,20,71,6.54702106536542,8.413201229371458,7.894998661124423
pinn,0.1,23.0,0.0005,20,72,6.529925267249062,5.882346827965145,7.948379882699142
pinn,0.1,23.0,0.0005,20,73,6.5179249110778334,5.984984734649731,8.059974863354375
pinn,0.1,23.0,0.0005,20,74,6.543895562085736,7.720471867103211,7.886182547105582
pinn,0.1,23.0,0.0005,20,75,6.541916655922369,7.095787342621106,7.8930723116227695
pinn,0.1,23.0,0.0005,20,76,6.528250591694443,6.171830892358684,8.005096403266602
pinn,0.1,23.0,0.0005,20,77,6.518064364915453,6.24319156273192,7.834435912760165
pinn,0.1,23.0,0.0005,20,78,6.545334819844774,7.988185378582662,7.9027210984556495
pinn,0.1,23.0,0.0005,20,79,6.545264143086031,8.257718435872313,7.890355805257653
pinn,0.1,23.0,0.0005,20,8,8.177428132052938,9.746690480061224,8.885818436531315
pinn,0.1,23.0,0.0005,20,80,6.551141175939421,9.393692677883612,7.866806665231182
pinn,0.1,23.0,0.0005,20,81,6.544365035398428,7.659994173808045,7.8926439135743625
pinn,0.1,23.0,0.0005,20,82,6.543854761508131,7.782659854648845,7.8856564120862584
pinn,0.1,23.0,0.0005,20,83,6.543769335295957,7.559349859031823,7.884794318370288
pinn,0.1,23.0,0.0005,20,84,6.543272183760104,7.135790112817387,7.875855010987773
pinn,0.1,23.0,0.0005,20,85,6.545989641655452,7.749967476610225,7.898543506391916
pinn,0.1,23.0,0.0005,20,86,6.534870987861851,6.135009986368283,7.900519425085032
pinn,0.1,23.0,0.0005,20,87,6.544902015666747,7.951474551307253,7.883727687783131
pinn,0.1,23.0,0.0005,20,88,6.529935548720594,5.938840339769768,7.823941567298139
pinn,0.1,23.0,0.0005,20,89,6.554662085959024,7.835677641219229,7.843586099247998
pinn,0.1,23.0,0.0005,20,9,6.545567607997275,7.878751664561142,7.8667389256778835
pinn,0.1,23.0,0.0005,20,90,6.544353364058974,8.19757192970126,7.895587585480922
pinn,0.1,23.0,0.0005,20,91,6.5425940010460595,7.292791537295265,7.876445047642642
pinn,0.1,23.0,0.0005,20,92,6.542088088027309,7.131753656097945,7.881141282025767
pinn,0.1,23.0,0.0005,20,93,6.518543542611366,5.916341761333294,8.058593121976681
pinn,0.1,23.0,0.0005,20,94,6.541854701639256,7.054709657297111,7.885073758005924
pinn,0.1,23.0,0.0005,20,95,6.5444431007650685,7.964349134894185,7.9154701363090565
pinn,0.1,23.0,0.0005,20,96,6.035697254614644,5.755261243638134,17.079176428697583
pinn,0.1,23.0,0.0005,20,97,6.546184588322096,8.410610867885891,7.887751807263263
pinn,0.1,23.0,0.0005,20,98,6.545892229033554,7.9806990771147,7.888121403633063
pinn,0.1,23.0,0.0005,20,99,6.5447374370265425,7.576748437216575,7.892769881420325
pinn,0.1,28.0,0.0005,20,0,8.471725714975971,4.9274900919454385,6.491385835642113
pinn,0.1,28.0,0.0005,20,1,8.475414715049242,4.897923785825979,6.478992013166821
pinn,0.1,28.0,0.0005,20,10,8.477620455751023,5.072587007201787,6.491587337083419
pinn,0.1,28.0,0.0005,20,11,8.475176042070164,4.976694316931792,6.485521506335764
pinn,0.1,28.0,0.0005,20,12,8.47595066525895,4.8693212081968085,6.480656102207644
pinn,0.1,28.0,0.0005,20,13,8.474114636619937,4.869382768743943,6.485345033745541
pinn,0.1,28.0,0.0005,20,14,8.471451485172318,4.913321312594704,6.480460970855242
pinn,0.1,28.0,0.0005,20,15,8.475607703813763,4.892028219193058,6.481447481419731
pinn,0.1,28.0,0.0005,20,16,8.475901335493155,4.895204828069208,6.487739355717375
pinn,0.1,28.0,0.0005,20,17,8.468607933186798,4.868227304630473,6.478586480016
pinn,0.1,28.0,0.0005,20,18,8.47656269318045,4.990473094472355,6.481557939159521
pinn,0.1,28.0,0.0005,20,19,8.480439700910141,5.208038914156873,6.4872529879491765
pinn,0.1,28.0,0.0005,20,2,8.46991471786087,5.342221231563797,6.505126368420342
