model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
pinn,10.0,23.0,0.05,10,20,4.464786438028988,6.542793748726721,5.547090862395693
pinn,100.0,23.0,0.05,10,20,8.3956970840599,12.62154222511821,11.530786338747564
pinn,1000.0,23.0,0.05,10,20,17.513150125851755,20.151663637418174,17.253661646268174
magi,,23.0,0.05,10,21,0.4517435285328388,2.8473539796432417,2.450916047528275
pinn,0.1,23.0,0.05,10,21,0.2963097917555409,0.1827284902132682,0.2048012109346848
pinn,1.0,23.0,0.05,10,21,3.372541341879714,1.834872604844628,1.9568960903522683
pinn,10.0,23.0,0.05,10,21,2.3830827477521725,2.3022411092614825,1.8014016146738148
pinn,100.0,23.0,0.05,10,21,7.193849581979591,6.309415429868893,7.0912839511867585
pinn,1000.0,23.0,0.05,10,21,20.716024145757853,17.171429512658495,18.214443340670417
magi,,23.0,0.05,10,22,0.723895102212305,1.751915252857181,1.941484503673418
pinn,0.1,23.0,0.05,10,22,0.21520026664209704,0.2489534365145931,0.3753048759833269
pinn,1.0,23.0,0.05,10,22,0.8924632180718463,1.4798904996421316,3.2858322823138684
pinn,10.0,23.0,0.05,10,22,2.8675738575546825,5.818840859212619,4.24622285405803
pinn,100.0,23.0,0.05,10,22,7.532835994299854,6.154756041940055,6.872438322321781
pinn,1000.0,23.0,0.05,10,22,18.833900382612537,21.023261249685834,21.55359875544005
magi,,23.0,0.05,10,23,0.37983889891036354,1.3791884880715537,2.1726883530931236
pinn,0.1,23.0,0.05,10,23,0.24688207900604453,0.3540459798072237,0.37207823054744216
pinn,1.0,23.0,0.05,10,23,0.9965620706959072,1.705764638910673,2.4790239787668167
pinn,10.0,23.0,0.05,10,23,1.9546906460950206,2.946380254362634,2.2366959359521186
pinn,100.0,23.0,0.05,10,23,7.203423064718128,6.666231283949978,7.551222659201848
pinn,1000.0,23.0,0.05,10,23,17.77651120410727,20.753787081412696,18.634518974020597
magi,,23.0,0.05,10,24,0.5036239526138052,1.6617573494938924,2.1960858043687987
