model,lmbda,rho,alpha,dobs,seed,betahat,betahat_LB,betahat_UB,betahat_err,rhohat,rhohat_LB,rhohat_UB,rhohat_err,sigmahat,sigmahat_LB,sigmahat_UB,sigmahat_err,X_rmse,Y_rmse,Z_rmse
magi,,23.0,0.05,10,44,2.64452113953449,2.564652550338191,2.728629369276154,-0.022145527132176657,22.998048949860774,22.70323715560203,23.302508405654677,-0.0019510501392261403,9.050253028351348,8.340690521495853,9.80775248457268,-0.9497469716486524,0.3772833126076275,0.46686051647950355,0.474741155772234
magi,,23.0,0.05,10,45,2.570968748956556,2.4702729729893704,2.6752962111057785,-0.09569791771011049,22.767584556322007,22.423225153828167,23.111754895960804,-0.2324154436779935,9.266990366616493,8.45066902683214,10.136614433785569,-0.7330096333835066,0.33189116950202646,0.4805211400940566,0.6326233304973358
magi,,23.0,0.05,10,46,2.652689313219653,2.566026142862878,2.7482466366210017,-0.013977353447013563,23.031893545349046,22.72625035333463,23.340255057444036,0.03189354534904609,8.332607437530639,7.662962695660713,9.100378083050314,-1.6673925624693613,0.4348554357880897,0.5215690334151654,0.5375584411099359
magi,,23.0,0.05,10,47,2.636134023242379,2.5365040137426846,2.7357423767273015,-0.03053264342428763,23.363688609057576,23.0051324794603,23.72437620397771,0.3636886090575757,8.732159253408575,7.979516279102091,9.567680534320456,-1.2678407465914248,0.40771942491792007,0.4898740557968823,0.6546864683318261
magi,,23.0,0.05,10,48,2.6703487901536054,2.561649848577703,2.7731763790002124,0.0036821234869388597,22.943994454118073,22.569375354324915,23.30135754936318,-0.05600554588192708,9.574118402229498,8.703802748536123,10.495533529573382,-0.42588159777050194,0.37669696626883753,0.5328738538638753,0.7237314591588845
magi,,23.0,0.05,10,49,2.582974545102844,2.4769797048518467,2.6913551928853723,-0.08369212156382266,22.89601653888261,22.50243422986568,23.271441935621837,-0.10398346111739087,8.752432194306444,7.964178091501906,9.58557883218294,-1.2475678056935564,0.43436036052427973,0.5222719061445826,0.6527663256866284
magi,,23.0,0.05,10,5,2.672684724135099,2.5734954751806245,2.768349980725117,0.006018057468432314,22.89970589144853,22.54290282734948,23.2353801567542,-0.10029410855146992,8.29986855371144,7.6098496264458975,9.06181711705059,-1.7001314462885606,0.4891651908698512,0.6431479139435279,0.7989774943402896
magi,,23.0,0.05,10,50,2.656888345384692,2.5664516171232457,2.751378338195596,-0.009778321281974645,23.072583341971836,22.723378851325222,23.417486243068407,0.07258334197183558,8.766414481276811,8.09642362507696,9.53317295830152,-1.2335855187231886,0.5290016775647851,0.5653486059971361,0.7109359800847774
magi,,23.0,0.05,10,51,2.6332298066802995,2.5294307390501904,2.732547452395402,-0.03343685998636703,23.025249523449435,22.66663200401297,23.376503401009096,0.02524952344943543,8.756810573597786,8.052637186977014,9.5426921065541,-1.243189426402214,0.34834870770306053,0.3774173687311949,0.4522930928070277
magi,,23.0,0.05,10,52,2.61312846779021,2.512716256897796,2.7161090912786072,-0.05353819887645672,22.836810613738095,22.524080013049026,23.148346478100688,-0.16318938626190516,9.269086195914303,8.499084806705598,10.117198629082699,-0.7309138040856968,0.31357339684965374,0.41503440076803083,0.5587059244740269
